Ticket_ID,Customer_ID,Equipment_Model,Issue_Category,Priority_Level,Signal_Strength_dBm,Technician_Assigned,Department,Created_Date,Resolved_Date,Resolution_Time_Hrs,Status,Customer_Satisfaction_Rating,Escalation_Flag,First_Contact_Resolution,Technician_Expertise_Level,Remote_Resolution_Attempted,On_Site_Visit_Required,Cost_Of_Resolution,Parts_Replaced
2075,6475,Super Joey,Cancellation,Low,-39.0,Brittany Wade,Equipment Support,2024-08-11 12:36:38.476169,2024-12-25 12:36:38.476169,12,Closed,1.5,False,True,Senior,True,True,430.66,True
2076,10881,Outdoor Dish,Cancellation,Medium,-84.0,Shannon Church,Sales,2025-09-18 12:36:38.476169,2025-05-01 12:36:38.476169,54,Resolved,3.0,True,False,Expert,True,False,426.26,True
2077,3353,Joey,Signal Loss,Low,-70.0,Jessica Newman,Technical Support,2025-05-30 12:36:38.476169,2025-08-28 12:36:38.476169,29,Clsd,4.2,True,False,Junior,False,False,391.48,False
2078,5466,Super Joey,Billing,High,-63.0,Mark Johnson,Technical Support,2024-04-03 12:36:38.476169,2025-08-01 12:36:38.476169,51,In Progress,4.0,True,True,Junior,False,True,48.58,False
2079,7533,4K Joey,Upgrade,Medium,-97.0,Tyler Wells,Installation,2025-02-03 12:36:38.476169,2024-08-27 12:36:38.476169,29,Resolved,2.1,True,True,Junior,True,False,299.17,True
2080,3474,Joey,Remote Pairing,High,-69.0,John Miles,Technical Support,2024-04-02 12:36:38.476169,2025-10-13 12:36:38.476169,55,Closed,2.8,True,True,Senior,True,False,396.47,False
2081,3632,Wally,Activation,Medium,-84.0,Thomas Thomas,Network Operations,2025-10-06 12:36:38.476169,2025-04-23 12:36:38.476169,32,In Progress,2.9,True,True,Expert,False,False,209.49,False
2082,8772,Joey,Installation,High,-70.0,Miguel Anderson,Technical Support,2024-10-09 12:36:38.476169,2025-06-08 12:36:38.476169,60,On Hold,1.9,True,True,Senior,False,True,103.5,False
2083,8998,Hopper 2,Upgrade,High,-90.0,James Miller,Technical Support,2025-06-12 12:36:38.476169,2024-04-30 12:36:38.476169,47,Clsd,2.4,False,True,Junior,True,True,84.82,False
2084,9766,Joey,Signal Loss,Critical,-35.0,Carrie Goodwin,Billing,2025-10-04 12:36:38.476169,2024-05-03 12:36:38.476169,62,Closed,2.5,False,False,Expert,True,False,72.59,False
2085,8657,Joey,Remote Pairing,Medium,-78.0,Courtney Nelson,Installation,2025-05-27 12:36:38.476169,2025-04-22 12:36:38.476169,62,Closed,2.5,False,True,Expert,True,True,93.95,False
2086,2140,Joey,Activation,High,-34.0,Crystal Valencia,Sales,2024-09-29 12:36:38.476169,2025-08-21 12:36:38.476169,22,Clsd,3.0,True,False,Expert,True,True,126.72,False
2087,11301,Hopper 3,Remote Pairing,High,-98.0,Kevin Rice,Equipment Support,2025-11-30 12:36:38.476169,2025-07-21 12:36:38.476169,12,Open,2.2,False,False,Senior,False,True,132.56,True
2088,10873,Joey,Upgrade,Medium,-63.0,Christopher White,Sales,2025-07-05 12:36:38.476169,2024-06-28 12:36:38.476169,1,Resolved,1.3,True,True,Senior,True,False,108.55,False
2089,11260,Hopper 2,Installation,Medium,-92.0,Annette Brown,Technical Support,2024-07-21 12:36:38.476169,2024-05-12 12:36:38.476169,14,Closed,1.6,False,False,Expert,False,False,214.22,True
2090,12101,4K Joey,Activation,Low,-61.0,Sydney Mcdonald,Network Operations,2024-05-25 12:36:38.476169,2025-07-04 12:36:38.476169,61,Closed,1.3,True,False,Senior,False,False,420.14,True
2091,2494,4K Joey,Upgrade,Low,-73.0,Alexandra Mccullough,Sales,2025-05-31 12:36:38.476169,2024-04-14 12:36:38.476169,40,Open,1.5,False,False,Junior,False,False,2.02,True
2092,11056,Outdoor Dish,Remote Pairing,Low,-62.0,Tanya Ward,Network Operations,2024-08-19 12:36:38.476169,2025-08-16 12:36:38.476169,53,Clsd,4.4,True,True,Senior,False,True,437.31,False
2093,8772,Outdoor Dish,Billing,Medium,-82.0,David Doyle,Network Operations,2024-04-06 12:36:38.476169,2024-10-16 12:36:38.476169,61,Closed,4.7,False,True,Senior,False,False,122.13,False
2094,2341,Hopper 2,Cancellation,Critical,-45.0,Martin Sanchez,Network Operations,2026-02-09 12:36:38.476169,2025-01-16 12:36:38.476169,7,In Progress,1.1,False,True,Junior,True,True,450.12,False
2095,4970,Super Joey,Cancellation,High,-50.0,Mr. Robert Perry Dds,Billing,2025-09-22 12:36:38.476169,2025-02-21 12:36:38.476169,62,Clsd,1.4,True,True,Senior,False,False,90.25,False
2096,12554,Wally,Signal Loss,High,-87.0,Justin Gomez,Sales,2025-03-19 12:36:38.476169,2025-08-22 12:36:38.476169,43,Closed,2.7,True,False,Expert,False,True,316.03,False
2097,11798,Wally,Remote Pairing,Critical,-37.0,James Smith,Billing,2025-05-19 12:36:38.476169,2025-01-10 12:36:38.476169,1,In Progress,2.7,True,True,Junior,False,False,254.64,True
2098,7838,Outdoor Dish,Billing,Low,-63.0,Sandra Edwards,Equipment Support,2024-04-29 12:36:38.476169,2024-03-18 12:36:38.476169,7,Resolved,4.6,False,True,Expert,False,False,53.78,False
2099,10149,Wally,Billing,Critical,-99.0,Elizabeth Murray Md,Installation,2025-10-22 12:36:38.476169,2025-12-05 12:36:38.476169,55,Resolved,2.4,False,True,Senior,True,False,220.1,True
2100,4449,Joey,Hardware Failure,Medium,-95.0,Stephanie Cruz,Network Operations,2024-10-19 12:36:38.476169,2024-05-10 12:36:38.476169,58,In Progress,2.1,False,True,Junior,False,True,230.77,True
2101,8958,Super Joey,Signal Loss,High,-79.0,Anthony Allen,Network Operations,2024-08-21 12:36:38.476169,2024-03-28 12:36:38.476169,23,Closed,2.6,True,True,Expert,True,True,12.36,True
2102,1134,Hopper 3,Upgrade,High,-96.0,Samantha Maddox,Installation,2026-03-03 12:36:38.476169,2024-06-14 12:36:38.476169,9,Closed,1.9,True,False,Junior,False,False,24.51,True
2103,11155,Hopper 3,Activation,High,-34.0,Amy Monroe,Network Operations,2025-08-03 12:36:38.476169,2025-02-02 12:36:38.476169,11,Resolved,3.3,True,True,Junior,True,False,23.73,False
2104,11820,Super Joey,Upgrade,Medium,-89.0,Kristen Hardy,Technical Support,2025-04-26 12:36:38.476169,2024-03-31 12:36:38.476169,59,Clsd,1.8,False,False,Senior,True,True,210.27,True
2105,1865,4K Joey,Cancellation,Medium,-41.0,Samantha Ryan,Billing,2025-10-07 12:36:38.476169,2024-05-16 12:36:38.476169,30,On Hold,2.8,False,False,Senior,True,False,15.53,True
2106,5334,4K Joey,Signal Loss,Low,-84.0,Ann Chapman,Billing,2024-11-26 12:36:38.476169,2025-08-18 12:36:38.476169,41,Closed,4.0,True,False,Senior,True,True,367.96,True
2107,3052,Joey,Hardware Failure,Medium,-48.0,Ronald Warren,Technical Support,2025-12-10 12:36:38.476169,2024-08-27 12:36:38.476169,59,In Progress,2.3,False,True,Expert,True,False,109.3,True
2108,7542,Hopper 2,Upgrade,Medium,-51.0,Shannon Dalton,Sales,2025-06-15 12:36:38.476169,2025-12-15 12:36:38.476169,69,Open,4.8,False,True,Junior,False,False,324.98,False
2109,11848,4K Joey,Activation,Critical,-70.0,Stephen Castro,Sales,2024-06-23 12:36:38.476169,2025-10-06 12:36:38.476169,29,Closed,3.1,True,False,Junior,True,False,218.11,False
2110,11066,Outdoor Dish,Billing,Low,-40.0,Elizabeth Mcfarland,Technical Support,2024-09-21 12:36:38.476169,2024-08-23 12:36:38.476169,63,Closed,1.8,True,True,Junior,True,False,22.11,True
2111,1456,Joey,Activation,High,-96.0,Laura Luna,Billing,2025-02-14 12:36:38.476169,2024-03-31 12:36:38.476169,57,In Progress,1.2,False,False,Junior,False,False,119.19,False
2112,9940,Outdoor Dish,Activation,Low,-50.0,Katherine Bush,Installation,2025-12-26 12:36:38.476169,2025-09-07 12:36:38.476169,66,Closed,2.7,True,False,Expert,True,True,215.69,False
2113,8674,Super Joey,Remote Pairing,Critical,-91.0,Cynthia Rodriguez,Equipment Support,2024-06-07 12:36:38.476169,2025-05-10 12:36:38.476169,43,On Hold,1.7,False,False,Expert,False,False,156.72,True
2114,4855,4K Joey,Activation,High,-55.0,Thomas Murillo,Technical Support,2025-02-21 12:36:38.476169,2025-01-01 12:36:38.476169,1,Closed,2.0,True,True,Expert,True,True,416.0,True
2115,2559,Outdoor Dish,Cancellation,High,-45.0,Unassigned,Installation,2024-10-21 12:36:38.476169,2025-12-29 12:36:38.476169,5,Closed,2.1,False,True,Expert,False,True,244.57,False
2116,8769,Super Joey,Activation,Medium,-93.0,Casey Ray,Technical Support,2024-07-12 12:36:38.476169,2024-09-17 12:36:38.476169,56,In Progress,4.8,False,False,Senior,False,True,275.21,False
2117,8845,4K Joey,Billing,Low,-98.0,Melinda Clark,Network Operations,2024-10-23 12:36:38.476169,2025-12-22 12:36:38.476169,61,Open,1.2,False,False,Senior,True,False,367.47,True
2118,5772,Hopper 3,Installation,Medium,-88.0,Jordan Jensen,Equipment Support,2026-01-25 12:36:38.476169,2025-03-04 12:36:38.476169,54,On Hold,4.4,False,True,Junior,True,True,466.67,True
2119,1409,Wally,Installation,Medium,-64.93720823798627,Deborah Frey,Installation,2024-09-21 12:36:38.476169,2024-10-24 12:36:38.476169,72,Open,4.7,True,True,Expert,False,True,334.81,True
2120,5244,Outdoor Dish,Signal Loss,Medium,-88.0,Evan Oliver,Sales,2025-10-27 12:36:38.476169,2024-05-21 12:36:38.476169,5,Open,1.2,True,False,Expert,False,True,55.9,True
2121,5626,Hopper 2,Activation,Low,-88.0,Cynthia Tate,Installation,2026-02-26 12:36:38.476169,2026-02-18 12:36:38.476169,53,On Hold,2.2,False,False,Senior,False,False,390.37,True
2122,12487,Outdoor Dish,Activation,Medium,-94.0,Lisa Jacobs,Installation,2024-08-03 12:36:38.476169,2024-07-06 12:36:38.476169,69,Closed,3.7,True,False,Senior,True,False,458.17,True
2123,12257,4K Joey,Hardware Failure,Critical,-68.0,Taylor White,Technical Support,2024-11-13 12:36:38.476169,2025-07-10 12:36:38.476169,56,Closed,4.6,False,False,Junior,False,True,72.14,True
2124,6704,Joey,Cancellation,Critical,-64.93720823798627,David Murphy,Sales,2025-01-27 12:36:38.476169,2024-10-22 12:36:38.476169,34,Resolved,4.3,True,True,Senior,False,True,263.45,False
2125,5249,Wally,Remote Pairing,Medium,-33.0,Amanda Swanson,Sales,2025-05-15 12:36:38.476169,2024-05-04 12:36:38.476169,28,In Progress,1.6,True,True,Junior,False,False,85.62,True
2126,10156,Hopper 2,Signal Loss,High,-87.0,Joshua Myers,Technical Support,2025-01-20 12:36:38.476169,2024-11-21 12:36:38.476169,53,Closed,1.9,False,False,Senior,True,False,276.11,False
2127,2899,Outdoor Dish,Signal Loss,Critical,-74.0,David Conley,Sales,2025-12-05 12:36:38.476169,2025-04-06 12:36:38.476169,51,On Hold,4.9,False,False,Junior,False,False,293.37,True
2128,4410,Hopper 2,Upgrade,Medium,-63.0,Leah Wood,Equipment Support,2024-10-29 12:36:38.476169,2025-03-27 12:36:38.476169,30,On Hold,2.7,True,False,Expert,False,False,1.59,False
2129,6782,Wally,Remote Pairing,High,-60.0,Brandi Cook,Installation,2024-09-08 12:36:38.476169,2025-08-12 12:36:38.476169,52,Resolved,3.7,True,True,Expert,False,False,386.8,False
2130,9521,Joey,Installation,High,-56.0,Carrie Wilson,Technical Support,2024-08-20 12:36:38.476169,2025-12-18 12:36:38.476169,65,Resolved,3.0,False,True,Expert,True,False,80.05,True
2131,1104,Hopper 3,Upgrade,Medium,-58.0,Madeline Collier,Equipment Support,2025-08-09 12:36:38.476169,2025-05-13 12:36:38.476169,9,Closed,2.8,False,True,Senior,False,False,137.63,False
2132,10537,4K Joey,Hardware Failure,High,-80.0,Larry Rice,Equipment Support,2025-01-21 12:36:38.476169,2025-03-20 12:36:38.476169,55,In Progress,2.1,True,False,Senior,False,True,446.15,True
2133,12199,4K Joey,Remote Pairing,Medium,-86.0,Edward Bell,Sales,2024-04-03 12:36:38.476169,2025-04-12 12:36:38.476169,18,Resolved,4.6,False,True,Senior,True,True,331.59,True
2134,9868,4K Joey,Hardware Failure,High,-84.0,Teresa Conway,Installation,2026-01-01 12:36:38.476169,2024-09-24 12:36:38.476169,22,Closed,4.4,True,True,Senior,True,False,372.01,False
2135,3435,Wally,Activation,Medium,-64.93720823798627,Kendra Ramirez,Installation,2024-10-04 12:36:38.476169,2024-09-07 12:36:38.476169,16,In Progress,4.8,True,False,Junior,True,True,156.66,True
