Ticket_ID,Customer_ID,Equipment_Model,Issue_Category,Priority_Level,Status,Department,Technician_Assigned,Overall_Performance_Score,Performance_Tier,Created_Date,Resolution_Time_Hrs,Resolution_Efficiency,Issue_Resolution_Time,Signal_Quality,Reliability_Index,Customer_Satisfaction_Rating,Escalation_Flag,First_Contact_Resolution,Remote_Resolution_Attempted,Cost_Of_Resolution,Issue_Impact_Score
2023,10876,Wally,Cancellation,Medium,Closed,Technical Support,Duane Garcia,25,Developing,2024-04-23 12:36:38.476169,69,Low,Medium_72h,Poor,31,1.8,False,False,True,113.86,50
2024,1966,4K Joey,Signal Loss,Medium,Closed,Equipment Support,Dana Gonzalez,39,Developing,2024-09-24 12:36:38.476169,68,Low,Medium_72h,Good,31,4.8,True,False,False,17.98,50
2025,2518,Joey,Activation,Medium,In Progress,Sales,Jessica Alvarado,25,Developing,2026-02-02 12:36:38.476169,37,Low,Medium_72h,Good,31,1.0,False,False,True,284.51,50
2026,5165,Outdoor Dish,Activation,Low,In Progress,Sales,Julie Hernandez,71,Proficient,2025-11-11 12:36:38.476169,18,High,High_24h,Excellent,30,2.1,True,True,False,52.61,50
2027,12090,Wally,Upgrade,High,Closed,Sales,Cynthia West,55,Developing,2024-04-16 12:36:38.476169,10,High,High_24h,Excellent,31,3.5,True,False,False,189.33,50
2028,1928,Hopper 2,Billing,Critical,Clsd,Installation,Thomas Rangel,26,Developing,2024-05-31 12:36:38.476169,58,Low,Medium_72h,Excellent,32,2.6,True,False,True,394.55,50
2029,6150,Outdoor Dish,Activation,Medium,Clsd,Sales,Melanie Sweeney,26,Developing,2025-12-13 12:36:38.476169,64,Low,Medium_72h,Excellent,30,1.3,True,False,False,7.56,50
2030,6127,Super Joey,Activation,Medium,Open,Technical Support,Sean Parker,77,Proficient,2024-03-28 12:36:38.476169,34,High,Medium_72h,Good,31,4.2,False,True,False,169.66,50
2031,10377,Joey,Cancellation,High,Open,Equipment Support,Rose Thornton,70,Proficient,2026-02-20 12:36:38.476169,69,Low,Medium_72h,Good,31,4.9,False,True,True,149.15,50
2032,2539,Hopper 2,Hardware Failure,High,Closed,Equipment Support,Matthew Martin,36,Developing,2025-12-28 12:36:38.476169,71,Low,Medium_72h,Fair,32,2.2,True,False,True,77.23,50
2033,3221,Joey,Remote Pairing,Low,In Progress,Technical Support,Darren Smith,55,Developing,2024-05-09 12:36:38.476169,55,Low,Medium_72h,Excellent,31,2.6,False,True,False,284.02,50
2034,1396,Hopper 2,Activation,Critical,Resolved,Installation,John Pham,63,Developing,2024-06-04 12:36:38.476169,27,High,Medium_72h,Poor,32,1.7,True,True,True,130.61,50
2035,10471,Super Joey,Remote Pairing,High,Clsd,Network Operations,William Brooks,29,Developing,2024-06-14 12:36:38.476169,57,Low,Medium_72h,Good,31,1.7,False,False,False,74.54,50
2036,7180,Outdoor Dish,Activation,Medium,Closed,Technical Support,Nicholas Gardner,80,Proficient,2025-09-28 12:36:38.476169,22,High,High_24h,Fair,30,4.0,False,True,False,149.61,50
2037,10239,Outdoor Dish,Signal Loss,Low,Open,Installation,Connie Gentry,63,Developing,2025-06-23 12:36:38.476169,59,Low,Medium_72h,Excellent,30,3.4,False,True,False,156.88,50
2038,8443,Hopper 2,Activation,Low,In Progress,Technical Support,Howard Reilly,24,Developing,2025-04-20 12:36:38.476169,31,High,Medium_72h,Poor,32,1.5,False,False,True,494.36,50
2039,6351,Super Joey,Installation,Low,Clsd,Billing,Andrew Clark,59,Developing,2025-08-23 12:36:38.476169,67,Low,Medium_72h,Excellent,31,3.6,True,True,False,405.27,50
2040,8563,Outdoor Dish,Signal Loss,Critical,Closed,Billing,Nancy Cervantes,32,Developing,2025-11-30 12:36:38.476169,35,High,Medium_72h,Excellent,30,1.1,False,False,True,107.73,50
2041,7507,Hopper 2,Activation,High,Resolved,Billing,Darin Ward,44,Developing,2025-10-30 12:36:38.476169,68,Low,Medium_72h,Excellent,32,4.6,False,False,True,141.42,50
2042,4882,Hopper 2,Remote Pairing,Critical,In Progress,Equipment Support,Alison Lyons,48,Developing,2025-08-14 12:36:38.476169,41,Low,Medium_72h,Poor,32,4.1,False,False,True,213.65,50
2043,5577,4K Joey,Cancellation,Critical,Resolved,Sales,Marissa Hernandez,55,Developing,2024-08-22 12:36:38.476169,7,High,High_24h,Excellent,31,3.2,False,False,False,135.69,50
2044,11608,Hopper 2,Hardware Failure,High,Clsd,Equipment Support,Charles Gregory,66,Developing,2025-10-13 12:36:38.476169,30,High,Medium_72h,Fair,32,1.8,True,True,True,28.36,50
2045,11301,Super Joey,Installation,Critical,Closed,Network Operations,Jamie Thompson,83,Proficient,2024-11-19 12:36:38.476169,25,High,Medium_72h,Excellent,31,4.1,False,True,True,46.42,50
2046,6583,Outdoor Dish,Upgrade,High,In Progress,Sales,Jacqueline Ayala,34,Developing,2025-11-24 12:36:38.476169,71,Low,Medium_72h,Good,30,1.2,True,True,True,479.62,50
2047,8666,Wally,Billing,Critical,Resolved,Installation,Regina Patton,39,Developing,2025-05-09 12:36:38.476169,47,Low,Medium_72h,Excellent,31,3.0,False,False,True,168.46,50
2048,1176,Wally,Remote Pairing,Critical,Resolved,Installation,Brandon Robertson,86,Expert,2024-06-21 12:36:38.476169,27,High,Medium_72h,Fair,31,4.7,False,True,True,54.9,50
2049,6148,Super Joey,Activation,Low,Closed,Technical Support,Mrs. Amy Johnson Md,47,Developing,2026-01-04 12:36:38.476169,36,High,Medium_72h,Poor,31,4.1,False,False,True,300.45,50
2050,4302,Outdoor Dish,Remote Pairing,Critical,Open,Network Operations,Martin Gallegos,37,Developing,2025-04-30 12:36:38.476169,39,Low,Medium_72h,Excellent,30,3.7,False,False,True,473.77,50
2051,1792,Outdoor Dish,Signal Loss,Low,Closed,Equipment Support,Michelle Parker,77,Proficient,2026-01-09 12:36:38.476169,23,High,High_24h,Poor,30,4.1,True,True,False,260.89,50
2052,10354,Super Joey,Signal Loss,Low,Resolved,Installation,Jeffery Watkins,68,Developing,2024-06-23 12:36:38.476169,27,High,Medium_72h,Poor,31,3.2,True,True,True,313.1,50
2053,8065,Joey,Activation,Critical,Closed,Equipment Support,Kimberly Keith,35,Developing,2025-04-29 12:36:38.476169,35,High,Medium_72h,Poor,31,1.3,False,False,True,49.0,50
2054,1824,Joey,Billing,Medium,Closed,Billing,Thomas Austin,55,Developing,2025-03-18 12:36:38.476169,61,Low,Medium_72h,Good,31,2.6,False,True,False,199.49,50
2055,4279,Outdoor Dish,Signal Loss,Low,Closed,Equipment Support,Jennifer Ross,58,Developing,2025-11-23 12:36:38.476169,70,Low,Medium_72h,Poor,30,3.1,False,True,True,316.09,50
2056,1237,Hopper 2,Remote Pairing,Medium,Clsd,Billing,Timothy Lester,52,Developing,2024-04-12 12:36:38.476169,20,High,High_24h,Good,32,1.7,True,True,False,305.4,50
2057,4956,Joey,Cancellation,Critical,Clsd,Network Operations,Jeffery Myers,58,Developing,2025-06-01 12:36:38.476169,44,Low,Medium_72h,Poor,31,3.4,True,True,True,478.99,50
2058,11684,Joey,Upgrade,High,On Hold,Network Operations,Lisa Green,38,Developing,2025-09-20 12:36:38.476169,35,High,Medium_72h,Fair,31,2.0,True,False,False,98.35,50
2059,12913,Super Joey,Cancellation,Critical,Closed,Billing,Amanda Chung,18,Developing,2025-03-18 12:36:38.476169,71,Low,Medium_72h,Excellent,31,1.8,True,False,False,295.36,50
2060,4152,Hopper 3,Signal Loss,High,Closed,Network Operations,Ann Patel,77,Proficient,2025-06-13 12:36:38.476169,4,High,Critical_4h,Excellent,28,3.5,False,True,False,348.18,50
2061,10747,Wally,Remote Pairing,Medium,Clsd,Sales,Edward Wiley,67,Developing,2024-12-23 12:36:38.476169,45,Low,Medium_72h,Good,31,4.2,False,True,False,374.72,50
2062,3517,Wally,Installation,Critical,Clsd,Billing,Julia Wade,57,Developing,2025-06-23 12:36:38.476169,45,Low,Medium_72h,Good,31,1.4,True,True,True,46.88,50
2063,5278,Hopper 3,Signal Loss,Low,Closed,Network Operations,John Dixon,70,Proficient,2024-07-08 12:36:38.476169,22,High,High_24h,Fair,28,2.5,True,True,False,151.68,50
2064,12059,Joey,Upgrade,High,Closed,Equipment Support,Michael Greene,58,Developing,2024-08-30 12:36:38.476169,15,High,High_24h,Good,31,1.0,True,True,False,280.34,50
2065,7476,4K Joey,Hardware Failure,High,In Progress,Sales,Mary Richardson,66,Developing,2024-10-19 12:36:38.476169,35,High,Medium_72h,Poor,31,2.6,False,True,False,42.41,50
2066,3142,Wally,Cancellation,Critical,Closed,Billing,Linda Williams,45,Developing,2024-12-10 12:36:38.476169,27,High,Medium_72h,Good,31,1.6,False,False,True,66.89,50
2067,6529,Hopper 2,Installation,Medium,Resolved,Billing,Christian Gonzalez,44,Developing,2025-05-26 12:36:38.476169,16,High,High_24h,Good,32,2.6,False,False,True,246.06,50
2068,1576,Hopper 2,Upgrade,Critical,Resolved,Technical Support,Edward Williams,76,Proficient,2024-10-20 12:36:38.476169,2,High,Critical_4h,Good,32,3.0,False,True,False,276.69,50
2069,11770,4K Joey,Remote Pairing,Critical,Open,Technical Support,Daniel Lewis,41,Developing,2025-06-04 12:36:38.476169,55,Low,Medium_72h,Good,31,3.7,True,False,True,177.09,50
2070,6155,Outdoor Dish,Hardware Failure,High,Resolved,Installation,Erica Alvarado,38,Developing,2025-07-10 12:36:38.476169,62,Low,Medium_72h,Good,30,4.4,False,False,True,351.31,50
2071,2843,Hopper 2,Upgrade,Low,In Progress,Equipment Support,Lisa Fitzpatrick,80,Proficient,2025-10-15 12:36:38.476169,16,High,High_24h,Good,32,4.4,False,True,True,334.93,50
2072,2166,Joey,Signal Loss,Medium,In Progress,Sales,Jordan Lee,42,Developing,2026-01-18 12:36:38.476169,38,Low,Medium_72h,Good,31,3.3,False,False,True,243.54,50
2073,12068,Hopper 2,Upgrade,Critical,Closed,Network Operations,Eric Ellis,48,Developing,2025-09-01 12:36:38.476169,22,High,High_24h,Excellent,32,3.9,False,False,False,362.01,50
2074,5487,Joey,Signal Loss,High,Clsd,Network Operations,Andrea White,79,Proficient,2025-01-21 12:36:38.476169,10,High,High_24h,Good,31,3.3,False,True,True,141.2,50
2075,6475,Super Joey,Cancellation,Low,Closed,Equipment Support,Brittany Wade,58,Developing,2024-08-11 12:36:38.476169,12,High,High_24h,Excellent,31,1.5,False,True,True,430.66,50
2076,10881,Outdoor Dish,Cancellation,Medium,Resolved,Sales,Shannon Church,29,Developing,2025-09-18 12:36:38.476169,54,Low,Medium_72h,Fair,30,3.0,True,False,True,426.26,50
2077,3353,Joey,Signal Loss,Low,Clsd,Technical Support,Jessica Newman,47,Developing,2025-05-30 12:36:38.476169,29,High,Medium_72h,Good,31,4.2,True,False,False,391.48,50
2078,5466,Super Joey,Billing,High,In Progress,Technical Support,Mark Johnson,73,Proficient,2024-04-03 12:36:38.476169,51,Low,Medium_72h,Good,31,4.0,True,True,False,48.58,50
2079,7533,4K Joey,Upgrade,Medium,Resolved,Installation,Tyler Wells,60,Developing,2025-02-03 12:36:38.476169,29,High,Medium_72h,Poor,31,2.1,True,True,True,299.17,50
2080,3474,Joey,Remote Pairing,High,Closed,Technical Support,John Miles,53,Developing,2024-04-02 12:36:38.476169,55,Low,Medium_72h,Good,31,2.8,True,True,True,396.47,50
2081,3632,Wally,Activation,Medium,In Progress,Network Operations,Thomas Thomas,49,Developing,2025-10-06 12:36:38.476169,32,High,Medium_72h,Fair,31,2.9,True,True,False,209.49,50
2082,8772,Joey,Installation,High,On Hold,Technical Support,Miguel Anderson,54,Developing,2024-10-09 12:36:38.476169,60,Low,Medium_72h,Good,31,1.9,True,True,False,103.5,50
2083,8998,Hopper 2,Upgrade,High,Clsd,Technical Support,James Miller,47,Developing,2025-06-12 12:36:38.476169,47,Low,Medium_72h,Poor,32,2.4,False,True,True,84.82,50
2084,9766,Joey,Signal Loss,Critical,Closed,Billing,Carrie Goodwin,33,Developing,2025-10-04 12:36:38.476169,62,Low,Medium_72h,Excellent,31,2.5,False,False,True,72.59,50
2085,8657,Joey,Remote Pairing,Medium,Closed,Installation,Courtney Nelson,57,Developing,2025-05-27 12:36:38.476169,62,Low,Medium_72h,Fair,31,2.5,False,True,True,93.95,50
2086,2140,Joey,Activation,High,Clsd,Sales,Crystal Valencia,49,Developing,2024-09-29 12:36:38.476169,22,High,High_24h,Excellent,31,3.0,True,False,True,126.72,50
2087,11301,Hopper 3,Remote Pairing,High,Open,Equipment Support,Kevin Rice,47,Developing,2025-11-30 12:36:38.476169,12,High,High_24h,Poor,28,2.2,False,False,False,132.56,50
2088,10873,Joey,Upgrade,Medium,Resolved,Sales,Christopher White,40,Developing,2025-07-05 12:36:38.476169,1,High,Critical_4h,Good,31,1.3,True,True,True,108.55,50
2089,11260,Hopper 2,Installation,Medium,Closed,Technical Support,Annette Brown,39,Developing,2024-07-21 12:36:38.476169,14,High,High_24h,Poor,32,1.6,False,False,False,214.22,50
2090,12101,4K Joey,Activation,Low,Closed,Network Operations,Sydney Mcdonald,15,Developing,2024-05-25 12:36:38.476169,61,Low,Medium_72h,Good,31,1.3,True,False,False,420.14,50
2091,2494,4K Joey,Upgrade,Low,Open,Sales,Alexandra Mccullough,36,Developing,2025-05-31 12:36:38.476169,40,Low,Medium_72h,Fair,31,1.5,False,False,False,2.02,50
2092,11056,Outdoor Dish,Remote Pairing,Low,Clsd,Network Operations,Tanya Ward,64,Developing,2024-08-19 12:36:38.476169,53,Low,Medium_72h,Good,30,4.4,True,True,False,437.31,50
2093,8772,Outdoor Dish,Billing,Medium,Closed,Network Operations,David Doyle,72,Proficient,2024-04-06 12:36:38.476169,61,Low,Medium_72h,Fair,30,4.7,False,True,False,122.13,50
2094,2341,Hopper 2,Cancellation,Critical,In Progress,Network Operations,Martin Sanchez,56,Developing,2026-02-09 12:36:38.476169,7,High,High_24h,Excellent,32,1.1,False,True,True,450.12,50
2095,4970,Super Joey,Cancellation,High,Clsd,Billing,Mr. Robert Perry Dds,49,Developing,2025-09-22 12:36:38.476169,62,Low,Medium_72h,Excellent,31,1.4,True,True,False,90.25,50
2096,12554,Wally,Signal Loss,High,Closed,Sales,Justin Gomez,34,Developing,2025-03-19 12:36:38.476169,43,Low,Medium_72h,Poor,31,2.7,True,False,False,316.03,50
2097,11798,Wally,Remote Pairing,Critical,In Progress,Billing,James Smith,50,Developing,2025-05-19 12:36:38.476169,1,High,Critical_4h,Excellent,31,2.7,True,True,False,254.64,50
2098,7838,Outdoor Dish,Billing,Low,Resolved,Equipment Support,Sandra Edwards,93,Expert,2024-04-29 12:36:38.476169,7,High,High_24h,Good,30,4.6,False,True,False,53.78,50
2099,10149,Wally,Billing,Critical,Resolved,Installation,Elizabeth Murray Md,55,Developing,2025-10-22 12:36:38.476169,55,Low,Medium_72h,Poor,31,2.4,False,True,True,220.1,50
2100,4449,Joey,Hardware Failure,Medium,In Progress,Network Operations,Stephanie Cruz,52,Developing,2024-10-19 12:36:38.476169,58,Low,Medium_72h,Poor,31,2.1,False,True,False,230.77,50
2101,8958,Super Joey,Signal Loss,High,Closed,Network Operations,Anthony Allen,79,Proficient,2024-08-21 12:36:38.476169,23,High,High_24h,Fair,31,2.6,True,True,True,12.36,50
2102,1134,Hopper 3,Upgrade,High,Closed,Installation,Samantha Maddox,49,Developing,2026-03-03 12:36:38.476169,9,High,High_24h,Poor,28,1.9,True,False,False,24.51,50
2103,11155,Hopper 3,Activation,High,Resolved,Network Operations,Amy Monroe,83,Proficient,2025-08-03 12:36:38.476169,11,High,High_24h,Excellent,28,3.3,True,True,True,23.73,50
2104,11820,Super Joey,Upgrade,Medium,Clsd,Technical Support,Kristen Hardy,25,Developing,2025-04-26 12:36:38.476169,59,Low,Medium_72h,Poor,31,1.8,False,False,True,210.27,50
2105,1865,4K Joey,Cancellation,Medium,On Hold,Billing,Samantha Ryan,48,Developing,2025-10-07 12:36:38.476169,30,High,Medium_72h,Excellent,31,2.8,False,False,True,15.53,50
2106,5334,4K Joey,Signal Loss,Low,Closed,Billing,Ann Chapman,45,Developing,2024-11-26 12:36:38.476169,41,Low,Medium_72h,Fair,31,4.0,True,False,True,367.96,50
2107,3052,Joey,Hardware Failure,Medium,In Progress,Technical Support,Ronald Warren,57,Developing,2025-12-10 12:36:38.476169,59,Low,Medium_72h,Excellent,31,2.3,False,True,True,109.3,50
2108,7542,Hopper 2,Upgrade,Medium,Open,Sales,Shannon Dalton,64,Developing,2025-06-15 12:36:38.476169,69,Low,Medium_72h,Good,32,4.8,False,True,False,324.98,50
2109,11848,4K Joey,Activation,Critical,Closed,Sales,Stephen Castro,44,Developing,2024-06-23 12:36:38.476169,29,High,Medium_72h,Good,31,3.1,True,False,True,218.11,50
2110,11066,Outdoor Dish,Billing,Low,Closed,Technical Support,Elizabeth Mcfarland,54,Developing,2024-09-21 12:36:38.476169,63,Low,Medium_72h,Excellent,30,1.8,True,True,True,22.11,50
2111,1456,Joey,Activation,High,In Progress,Billing,Laura Luna,24,Developing,2025-02-14 12:36:38.476169,57,Low,Medium_72h,Poor,31,1.2,False,False,False,119.19,50
2112,9940,Outdoor Dish,Activation,Low,Closed,Installation,Katherine Bush,29,Developing,2025-12-26 12:36:38.476169,66,Low,Medium_72h,Excellent,30,2.7,True,False,True,215.69,50
2113,8674,Super Joey,Remote Pairing,Critical,On Hold,Equipment Support,Cynthia Rodriguez,45,Developing,2024-06-07 12:36:38.476169,43,Low,Medium_72h,Poor,31,1.7,False,False,False,156.72,50
2114,4855,4K Joey,Activation,High,Closed,Technical Support,Thomas Murillo,65,Developing,2025-02-21 12:36:38.476169,1,High,Critical_4h,Good,31,2.0,True,True,True,416.0,50
2115,2559,Outdoor Dish,Cancellation,High,Closed,Installation,Unassigned,53,Developing,2024-10-21 12:36:38.476169,5,High,High_24h,Excellent,30,2.1,False,True,False,244.57,50
2116,8769,Super Joey,Activation,Medium,In Progress,Technical Support,Casey Ray,45,Developing,2024-07-12 12:36:38.476169,56,Low,Medium_72h,Poor,31,4.8,False,False,False,275.21,50
2117,8845,4K Joey,Billing,Low,Open,Network Operations,Melinda Clark,16,Developing,2024-10-23 12:36:38.476169,61,Low,Medium_72h,Poor,31,1.2,False,False,True,367.47,50
2118,5772,Hopper 3,Installation,Medium,On Hold,Equipment Support,Jordan Jensen,62,Developing,2026-01-25 12:36:38.476169,54,Low,Medium_72h,Poor,28,4.4,False,True,True,466.67,50
2119,1409,Wally,Installation,Medium,Open,Installation,Deborah Frey,62,Developing,2024-09-21 12:36:38.476169,72,Low,Medium_72h,Good,31,4.7,True,True,False,334.81,50
2120,5244,Outdoor Dish,Signal Loss,Medium,Open,Sales,Evan Oliver,44,Developing,2025-10-27 12:36:38.476169,5,High,High_24h,Poor,30,1.2,True,False,False,55.9,50
2121,5626,Hopper 2,Activation,Low,On Hold,Installation,Cynthia Tate,25,Developing,2026-02-26 12:36:38.476169,53,Low,Medium_72h,Poor,32,2.2,False,False,False,390.37,50
2122,12487,Outdoor Dish,Activation,Medium,Closed,Installation,Lisa Jacobs,28,Developing,2024-08-03 12:36:38.476169,69,Low,Medium_72h,Poor,30,3.7,True,False,True,458.17,50
2123,12257,4K Joey,Hardware Failure,Critical,Closed,Technical Support,Taylor White,50,Developing,2024-11-13 12:36:38.476169,56,Low,Medium_72h,Good,31,4.6,False,False,False,72.14,50
2124,6704,Joey,Cancellation,Critical,Resolved,Sales,David Murphy,75,Proficient,2025-01-27 12:36:38.476169,34,High,Medium_72h,Good,31,4.3,True,True,False,263.45,50
2125,5249,Wally,Remote Pairing,Medium,In Progress,Sales,Amanda Swanson,49,Developing,2025-05-15 12:36:38.476169,28,High,Medium_72h,Excellent,31,1.6,True,True,False,85.62,50
2126,10156,Hopper 2,Signal Loss,High,Closed,Technical Support,Joshua Myers,26,Developing,2025-01-20 12:36:38.476169,53,Low,Medium_72h,Poor,32,1.9,False,False,True,276.11,50
2127,2899,Outdoor Dish,Signal Loss,Critical,On Hold,Sales,David Conley,47,Developing,2025-12-05 12:36:38.476169,51,Low,Medium_72h,Fair,30,4.9,False,False,False,293.37,50
2128,4410,Hopper 2,Upgrade,Medium,On Hold,Equipment Support,Leah Wood,48,Developing,2024-10-29 12:36:38.476169,30,High,Medium_72h,Good,32,2.7,True,False,False,1.59,50
2129,6782,Wally,Remote Pairing,High,Resolved,Installation,Brandi Cook,60,Developing,2024-09-08 12:36:38.476169,52,Low,Medium_72h,Good,31,3.7,True,True,False,386.8,50
2130,9521,Joey,Installation,High,Resolved,Technical Support,Carrie Wilson,60,Developing,2024-08-20 12:36:38.476169,65,Low,Medium_72h,Good,31,3.0,False,True,True,80.05,50
2131,1104,Hopper 3,Upgrade,Medium,Closed,Equipment Support,Madeline Collier,76,Proficient,2025-08-09 12:36:38.476169,9,High,High_24h,Good,28,2.8,False,True,False,137.63,50
2132,10537,4K Joey,Hardware Failure,High,In Progress,Equipment Support,Larry Rice,21,Developing,2025-01-21 12:36:38.476169,55,Low,Medium_72h,Fair,31,2.1,True,False,False,446.15,50
2133,12199,4K Joey,Remote Pairing,Medium,Resolved,Sales,Edward Bell,80,Proficient,2024-04-03 12:36:38.476169,18,High,High_24h,Poor,31,4.6,False,True,True,331.59,50
2134,9868,4K Joey,Hardware Failure,High,Closed,Installation,Teresa Conway,76,Proficient,2026-01-01 12:36:38.476169,22,High,High_24h,Fair,31,4.4,True,True,True,372.01,50
2135,3435,Wally,Activation,Medium,In Progress,Installation,Kendra Ramirez,63,Developing,2024-10-04 12:36:38.476169,16,High,High_24h,Good,31,4.8,True,False,True,156.66,50
2136,11378,4K Joey,Signal Loss,Low,Clsd,Billing,Heather Clark,60,Developing,2026-01-31 12:36:38.476169,59,Low,Medium_72h,Excellent,31,3.2,False,True,True,224.71,50
2137,2376,Hopper 2,Billing,Low,In Progress,Installation,Melissa Thompson,66,Developing,2024-04-26 12:36:38.476169,56,Low,Medium_72h,Excellent,32,3.0,True,True,True,9.92,50
2138,1080,Hopper 3,Activation,High,Closed,Billing,Joshua Harrison,53,Developing,2025-12-22 12:36:38.476169,68,Low,Medium_72h,Excellent,28,2.6,False,True,False,211.48,50
2139,5569,Hopper 3,Signal Loss,High,Closed,Installation,Mitchell Lee,57,Developing,2026-01-08 12:36:38.476169,49,Low,Medium_72h,Good,28,3.2,True,True,False,434.53,50
2140,8940,Joey,Remote Pairing,High,In Progress,Network Operations,Shawn Webb,84,Proficient,2025-04-24 12:36:38.476169,10,High,High_24h,Excellent,31,4.3,True,True,True,244.23,50
2141,12390,Super Joey,Remote Pairing,Low,In Progress,Equipment Support,Richard Yang,33,Developing,2024-04-11 12:36:38.476169,36,High,Medium_72h,Fair,31,1.6,False,False,False,159.74,50
2142,1335,Hopper 2,Remote Pairing,Medium,Clsd,Installation,Robert Marsh,36,Developing,2025-02-26 12:36:38.476169,54,Low,Medium_72h,Fair,32,3.2,True,False,True,249.52,50
2143,8606,Joey,Activation,Critical,Closed,Technical Support,Emily Johnson,67,Developing,2026-02-21 12:36:38.476169,23,High,High_24h,Fair,31,2.9,False,True,False,40.73,50
2144,1779,Outdoor Dish,Upgrade,Critical,On Hold,Equipment Support,Nancy Owens,43,Developing,2026-01-22 12:36:38.476169,25,High,Medium_72h,Good,30,2.3,False,False,False,131.85,50
