Program_Genre,Channel_Name,Device_Type,Stream_Quality,Total_View_Duration_Mins,Total_Engagement_Hours,Average_View_Duration_Mins,Total_Views,Unique_Customer_Count,Avg_Buffering_Events,Avg_User_Rating,Quality_Satisfaction,Engagement_Score,Popularity_Tier,Customer_Penetration,Genre_Strength_Index,Device_Adoption_Index,Content_Health,Viewing_Frequency,Content_Reach_Score,Ad_Opportunity_Score
Animation,Disney+,Mobile App,4K,442,7.366666666666666,110.5,4,4,2.75,1.75,Fair,44,Low,22,99,96,At_Risk,10,17,15
Animation,Disney+,Mobile App,HD,481,8.016666666666667,120.25,4,4,9.5,3.75,Poor,57,Low,22,99,96,Healthy,10,17,7
Animation,Disney+,Mobile App,SD,309,5.15,77.25,4,4,8.5,3.5,Poor,51,Low,22,99,96,Healthy,10,17,8
Animation,Disney+,Set-Top Box,4K,1032,17.2,129.0,8,8,7.5,3.125,Poor,62,High,44,99,99,Healthy,10,30,31
Animation,Disney+,Set-Top Box,HD,498,8.3,99.6,5,5,3.8,3.2,Fair,54,Low,27,99,99,Healthy,10,20,14
Animation,Disney+,Set-Top Box,SD,686,11.433333333333334,137.2,5,5,5.894199312714777,2.2,Poor,52,Low,27,99,99,Healthy,10,20,18
Animation,Disney+,Smart Tv,4K,449,7.483333333333333,112.25,4,4,8.75,3.0,Poor,51,Low,22,99,95,Healthy,10,17,10
Animation,Disney+,Smart Tv,HD,577,9.616666666666667,144.25,4,4,7.617749140893471,1.75,Poor,47,Low,22,99,95,At_Risk,10,17,15
Animation,Disney+,Smart Tv,SD,758,12.633333333333333,151.6,5,5,10.6,4.2,Poor,65,Low,27,99,95,Healthy,10,20,10
Animation,Disney+,Tablet,4K,243,4.05,81.0,3,3,3.3333333333333335,4.333333333333333,Fair,53,Low,16,99,96,Healthy,10,13,0
Animation,Disney+,Tablet,HD,628,10.466666666666667,157.0,4,4,5.5,3.0,Poor,56,Low,22,99,96,Healthy,10,17,10
Animation,Disney+,Tablet,SD,1396,23.266666666666666,155.11111111111111,9,9,6.1634440626193205,3.2222222222222223,Poor,67,Viral,50,99,96,Healthy,10,34,37
Animation,Espn,Laptop,4K,778,12.966666666666667,111.14285714285714,7,7,8.21014236622484,2.4285714285714284,Poor,54,High,38,99,100,Healthy,10,26,29
Animation,Espn,Laptop,HD,235,3.9166666666666665,117.5,2,2,4.5,3.5,Fair,48,Low,11,99,100,At_Risk,10,10,0
Animation,Espn,Laptop,SD,741,12.35,92.625,8,8,8.875,3.125,Poor,58,High,44,99,100,Healthy,10,30,31
Animation,Espn,Mobile App,4K,1350,22.5,122.72727272727273,11,11,7.636363636363637,3.1818181818181817,Poor,65,Viral,61,99,96,Healthy,10,40,48
Animation,Espn,Mobile App,HD,527,8.783333333333333,105.4,5,5,7.2,3.0,Poor,53,Low,27,99,96,Healthy,10,20,15
Animation,Espn,Mobile App,SD,907,15.116666666666667,129.57142857142858,7,7,8.352999509081984,2.7142857142857144,Poor,58,High,38,99,96,Healthy,10,26,28
Animation,Espn,Set-Top Box,4K,1438,23.966666666666665,119.83333333333333,12,12,6.333333333333333,2.75,Poor,64,Viral,66,99,99,Healthy,10,43,55
Animation,Espn,Set-Top Box,HD,1616,26.933333333333334,179.55555555555554,9,9,9.222222222222221,3.4444444444444446,Poor,70,Viral,50,99,99,Healthy,10,34,36
Animation,Espn,Set-Top Box,SD,646,10.766666666666667,129.2,5,5,8.6,3.0,Poor,56,Low,27,99,99,Healthy,10,20,15
Animation,Espn,Smart Tv,HD,190,3.1666666666666665,190.0,1,1,0.0,5.0,Excellent,59,Low,5,99,95,Healthy,10,7,0
Animation,Espn,Smart Tv,SD,820,13.666666666666666,117.14285714285714,7,7,6.857142857142857,3.2857142857142856,Poor,60,High,38,99,95,Healthy,10,26,25
Animation,Espn,Tablet,4K,1503,25.05,150.3,10,10,8.3,2.8,Poor,65,Viral,55,99,96,Healthy,10,37,44
Animation,Espn,Tablet,HD,376,6.266666666666667,188.0,2,2,4.0,2.5,Fair,49,Low,11,99,96,At_Risk,10,10,1
Animation,Espn,Tablet,SD,1609,26.816666666666666,178.77777777777777,9,9,5.555555555555555,2.5555555555555554,Poor,65,Viral,50,99,96,Healthy,10,34,39
Animation,Fox News,Laptop,4K,641,10.683333333333334,106.83333333333333,6,6,7.5,3.0,Poor,55,Medium,33,99,100,Healthy,10,23,21
Animation,Fox News,Laptop,HD,998,16.633333333333333,142.57142857142858,7,7,8.428571428571429,2.4285714285714284,Poor,57,High,38,99,100,Healthy,10,26,29
Animation,Fox News,Laptop,SD,1895,31.583333333333332,157.91666666666666,12,12,9.416666666666666,2.5,Poor,66,Viral,66,99,100,Healthy,10,43,56
Animation,Fox News,Mobile App,4K,1342,22.366666666666667,167.75,8,8,8.0,3.25,Poor,67,High,44,99,96,Healthy,10,30,31
Animation,Fox News,Mobile App,HD,368,6.133333333333334,92.0,4,4,4.25,4.0,Fair,55,Low,22,99,96,Healthy,10,17,6
Animation,Fox News,Mobile App,SD,351,5.85,175.5,2,2,7.0,3.0,Poor,51,Low,11,99,96,Healthy,10,10,0
Animation,Fox News,Set-Top Box,4K,1005,16.75,125.625,8,8,4.375,2.75,Fair,59,High,44,99,99,Healthy,10,30,33
Animation,Fox News,Set-Top Box,HD,959,15.983333333333333,159.83333333333334,6,6,7.833333333333333,2.6666666666666665,Poor,59,Medium,33,99,99,Healthy,10,23,22
Animation,Fox News,Set-Top Box,SD,1407,23.45,140.7,10,10,6.4,2.8,Poor,64,Viral,55,99,99,Healthy,10,37,44
Animation,Fox News,Smart Tv,4K,1208,20.133333333333333,151.0,8,8,7.125,3.0,Poor,63,High,44,99,95,Healthy,10,30,32
Animation,Fox News,Smart Tv,HD,249,4.15,83.0,3,3,7.666666666666667,3.0,Poor,45,Low,16,99,95,At_Risk,10,13,4
Animation,Fox News,Smart Tv,SD,1079,17.983333333333334,154.14285714285714,7,7,8.924428080510555,3.2857142857142856,Poor,64,High,38,99,95,Healthy,10,26,25
Animation,Fox News,Tablet,4K,549,9.15,183.0,3,3,10.666666666666666,4.0,Poor,62,Low,16,99,96,Healthy,10,13,0
Animation,Fox News,Tablet,HD,253,4.216666666666667,126.5,2,2,7.0,3.5,Poor,49,Low,11,99,96,At_Risk,10,10,0
Animation,Fox News,Tablet,SD,540,9.0,90.0,6,6,7.333333333333333,4.166666666666667,Poor,60,Medium,33,99,96,Healthy,10,23,16
Animation,Hbo,Laptop,4K,1138,18.966666666666665,113.8,10,10,9.4,3.8,Poor,67,Viral,55,99,100,Healthy,10,37,40
Animation,Hbo,Laptop,HD,1011,16.85,144.42857142857142,7,7,9.210142366224842,2.4285714285714284,Poor,58,High,38,99,100,Healthy,10,26,29
Animation,Hbo,Laptop,SD,447,7.45,149.0,3,3,11.333333333333334,4.0,Poor,58,Low,16,99,100,Healthy,10,13,0
Animation,Hbo,Mobile App,4K,1284,21.4,116.72727272727273,11,11,8.0,3.3636363636363638,Poor,66,Viral,61,99,96,Healthy,10,40,47
Animation,Hbo,Mobile App,HD,721,12.016666666666667,144.2,5,5,6.494199312714777,4.0,Poor,63,Low,27,99,96,Healthy,10,20,11
Animation,Hbo,Mobile App,SD,604,10.066666666666666,151.0,4,4,6.5,4.0,Poor,61,Low,22,99,96,Healthy,10,17,6
Animation,Hbo,Set-Top Box,4K,1263,21.05,157.875,8,8,5.75,2.25,Poor,60,High,44,99,99,Healthy,10,30,35
Animation,Hbo,Set-Top Box,HD,1132,18.866666666666667,161.71428571428572,7,7,8.571428571428571,2.2857142857142856,Poor,59,High,38,99,99,Healthy,10,26,29
Animation,Hbo,Set-Top Box,SD,579,9.65,96.5,6,6,6.833333333333333,2.1666666666666665,Poor,49,Medium,33,99,99,At_Risk,10,23,24
Animation,Hbo,Smart Tv,4K,1923,32.05,120.1875,16,16,6.0,2.4375,Poor,65,Viral,88,99,95,Healthy,10,56,79
Animation,Hbo,Smart Tv,HD,861,14.35,107.625,8,8,5.0,2.5,Fair,56,High,44,99,95,Healthy,10,30,34
Animation,Hbo,Smart Tv,SD,1030,17.166666666666668,128.75,8,8,9.742749140893471,3.375,Poor,63,High,44,99,95,Healthy,10,30,30
Animation,Hbo,Tablet,4K,488,8.133333333333333,122.0,4,4,9.25,3.5,Poor,55,Low,22,99,96,Healthy,10,17,8
Animation,Hbo,Tablet,HD,809,13.483333333333333,115.57142857142857,7,7,9.428571428571429,2.7142857142857144,Poor,56,High,38,99,96,Healthy,10,26,28
Animation,Hbo,Tablet,SD,870,14.5,145.0,6,6,3.3333333333333335,3.3333333333333335,Fair,61,Medium,33,99,96,Healthy,10,23,19
Animation,Hgtv,Laptop,4K,198,3.3,198.0,1,1,9.0,4.0,Poor,54,Low,5,99,100,Healthy,10,7,0
Animation,Hgtv,Laptop,HD,604,10.066666666666666,120.8,5,5,7.494199312714777,3.6,Poor,58,Low,27,99,100,Healthy,10,20,13
Animation,Hgtv,Laptop,SD,553,9.216666666666667,110.6,5,5,11.6,3.6,Poor,57,Low,27,99,100,Healthy,10,20,13
Animation,Hgtv,Mobile App,4K,350,5.833333333333333,116.66666666666667,3,3,7.0,3.3333333333333335,Poor,51,Low,16,99,96,Healthy,10,13,3
Animation,Hgtv,Mobile App,HD,820,13.666666666666666,136.66666666666666,6,6,8.245166093928981,2.8333333333333335,Poor,57,Medium,33,99,96,Healthy,10,23,21
Animation,Hgtv,Mobile App,SD,668,11.133333333333333,95.42857142857143,7,7,7.714285714285714,3.142857142857143,Poor,57,High,38,99,96,Healthy,10,26,26
Animation,Hgtv,Set-Top Box,4K,293,4.883333333333334,97.66666666666667,3,3,6.333333333333333,1.3333333333333333,Poor,37,Low,16,99,99,At_Risk,10,13,11
Animation,Hgtv,Set-Top Box,HD,1234,20.566666666666666,123.4,10,10,10.6,3.3,Poor,65,Viral,55,99,99,Healthy,10,37,42
Animation,Hgtv,Set-Top Box,SD,566,9.433333333333334,113.2,5,5,3.4,3.8,Fair,59,Low,27,99,99,Healthy,10,20,12
Animation,Hgtv,Smart Tv,4K,1095,18.25,109.5,10,10,4.5,2.8,Fair,60,Viral,55,99,95,Healthy,10,37,44
Animation,Hgtv,Smart Tv,HD,716,11.933333333333334,119.33333333333333,6,6,7.833333333333333,2.6666666666666665,Poor,55,Medium,33,99,95,Healthy,10,23,22
Animation,Hgtv,Smart Tv,SD,821,13.683333333333334,136.83333333333334,6,6,8.245166093928981,3.5,Poor,61,Medium,33,99,95,Healthy,10,23,19
Animation,Hgtv,Tablet,4K,616,10.266666666666667,154.0,4,4,8.25,2.25,Poor,51,Low,22,99,96,Healthy,10,17,13
Animation,Hgtv,Tablet,HD,1058,17.633333333333333,132.25,8,8,11.875,3.0,Poor,61,High,44,99,96,Healthy,10,30,32
Animation,Hgtv,Tablet,SD,1362,22.7,113.5,12,12,9.911832760595647,3.8333333333333335,Poor,69,Viral,66,99,96,Healthy,10,43,51
Animation,Local Channel,Laptop,4K,993,16.55,90.27272727272727,11,11,8.1337269603249,3.272727272727273,Poor,62,Viral,61,99,100,Healthy,10,40,48
Animation,Local Channel,Laptop,HD,667,11.116666666666667,111.16666666666667,6,6,8.0,4.333333333333333,Poor,64,Medium,33,99,100,Healthy,10,23,15
Animation,Local Channel,Laptop,SD,2441,40.68333333333333,244.1,10,10,8.0,2.9,Poor,75,Viral,55,99,100,Excellent,10,37,43
Animation,Local Channel,Mobile App,4K,833,13.883333333333333,166.6,5,5,11.0,3.6,Poor,63,Low,27,99,96,Healthy,10,20,13
Animation,Local Channel,Mobile App,HD,811,13.516666666666667,135.16666666666666,6,6,10.166666666666666,2.8333333333333335,Poor,57,Medium,33,99,96,Healthy,10,23,21
Animation,Local Channel,Mobile App,SD,405,6.75,81.0,5,5,7.494199312714777,2.2,Poor,46,Low,27,99,96,At_Risk,10,20,18
Animation,Local Channel,Set-Top Box,4K,688,11.466666666666667,137.6,5,5,8.2,3.0,Poor,56,Low,27,99,99,Healthy,10,20,15
Animation,Local Channel,Set-Top Box,HD,882,14.7,126.0,7,7,7.0,3.4285714285714284,Poor,62,High,38,99,99,Healthy,10,26,25
Animation,Local Channel,Set-Top Box,SD,923,15.383333333333333,115.375,8,8,9.875,3.25,Poor,61,High,44,99,99,Healthy,10,30,31
Animation,Local Channel,Smart Tv,4K,403,6.716666666666667,134.33333333333334,3,3,8.666666666666666,2.3333333333333335,Poor,47,Low,16,99,95,At_Risk,10,13,7
Animation,Local Channel,Smart Tv,HD,459,7.65,114.75,4,4,7.0,2.25,Poor,47,Low,22,99,95,At_Risk,10,17,13
Animation,Local Channel,Smart Tv,SD,237,3.95,59.25,4,4,8.75,2.0,Poor,40,Low,22,99,95,At_Risk,10,17,14
Animation,Local Channel,Tablet,4K,330,5.5,66.0,5,5,10.8,3.6,Poor,52,Low,27,99,96,Healthy,10,20,13
Animation,Local Channel,Tablet,HD,1187,19.783333333333335,131.88888888888889,9,9,8.607888507063766,3.111111111111111,Poor,63,Viral,50,99,96,Healthy,10,34,37
Animation,Local Channel,Tablet,SD,1193,19.883333333333333,132.55555555555554,9,9,10.11111111111111,2.6666666666666665,Poor,61,Viral,50,99,96,Healthy,10,34,39
Animation,Nbc,Laptop,4K,277,4.616666666666666,138.5,2,2,4.0,2.0,Fair,41,Low,11,99,100,At_Risk,10,10,3
Animation,Nbc,Laptop,HD,951,15.85,118.875,8,8,7.5588745704467355,2.875,Poor,59,High,44,99,100,Healthy,10,30,32
Animation,Nbc,Laptop,SD,295,4.916666666666667,98.33333333333333,3,3,12.0,2.6666666666666665,Poor,45,Low,16,99,100,At_Risk,10,13,5
Animation,Nbc,Mobile App,4K,873,14.55,145.5,6,6,9.078499427262313,3.5,Poor,62,Medium,33,99,96,Healthy,10,23,19
Animation,Nbc,Mobile App,HD,1285,21.416666666666668,128.5,10,10,7.5,3.0,Poor,64,Viral,55,99,96,Healthy,10,37,43
Animation,Nbc,Mobile App,SD,319,5.316666666666666,106.33333333333333,3,3,4.333333333333333,2.6666666666666665,Fair,46,Low,16,99,96,At_Risk,10,13,5
Animation,Nbc,Set-Top Box,4K,762,12.7,108.85714285714286,7,7,5.0,3.7142857142857144,Fair,62,High,38,99,99,Healthy,10,26,24
Animation,Nbc,Set-Top Box,HD,669,11.15,95.57142857142857,7,7,4.714285714285714,2.5714285714285716,Fair,53,High,38,99,99,Healthy,10,26,28
Animation,Nbc,Set-Top Box,SD,1100,18.333333333333332,122.22222222222223,9,9,8.11111111111111,2.888888888888889,Poor,61,Viral,50,99,99,Healthy,10,34,38
Animation,Nbc,Smart Tv,4K,927,15.45,154.5,6,6,8.833333333333334,3.1666666666666665,Poor,61,Medium,33,99,95,Healthy,10,23,20
Animation,Nbc,Smart Tv,HD,324,5.4,162.0,2,2,4.0,3.5,Fair,53,Low,11,99,95,Healthy,10,10,0
Animation,Nbc,Smart Tv,SD,826,13.766666666666667,118.0,7,7,4.857142857142857,1.8571428571428572,Fair,51,High,38,99,95,Healthy,10,26,31
Animation,Nbc,Tablet,4K,976,16.266666666666666,122.0,8,8,7.375,2.625,Poor,58,High,44,99,96,Healthy,10,30,33
Animation,Nbc,Tablet,HD,985,16.416666666666668,98.5,10,10,10.0,3.0,Poor,60,Viral,55,99,96,Healthy,10,37,43
Animation,Nbc,Tablet,SD,660,11.0,165.0,4,4,6.25,2.0,Poor,51,Low,22,99,96,Healthy,10,17,14
Animation,Netflix,Laptop,4K,605,10.083333333333334,121.0,5,5,11.294199312714778,2.0,Poor,49,Low,27,99,100,At_Risk,10,20,19
Animation,Netflix,Laptop,HD,211,3.5166666666666666,70.33333333333333,3,3,9.666666666666666,2.6666666666666665,Poor,42,Low,16,99,100,At_Risk,10,13,5
Animation,Netflix,Laptop,SD,1029,17.15,128.625,8,8,8.125,3.75,Poor,65,High,44,99,100,Healthy,10,30,29
